user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score
CarlB_ublox,Pandemic Autonomous Vehicles,2020-08-17 19:03:15,Right now is arguably the most important time to pay attention to what is happening with #AutonomousVehicles. Learn how #AV technology development and deployment won’t disappear post-pandemic. https://t.co/nr2yHmGEfp,positive,0.3952380952380952,,,,,1295436042728878080,subjective,0.6785714285714285,,
GlennaWiseman,Autonomous Vehicles,2020-08-17 22:49:59,,,,"It's a new event - ""Ensuring a Sustainable Autonomous Future""! We will discuss the likelihood that autonomous #vehicles will all be electric and the impacts of electrifying #autonomous vehicle TNC fleets.

September 24, 11am PT. Register https://t.co/tdMnBsVbZf https://t.co/IBlCgwOGoQ",positive,0.2672727272727273,,1295493102828843008,,,subjective,0.5359090909090909
permanentfuture,Autonomous Cars,2020-08-17 22:43:28,,,,"Michigan is devoting a 40-mile stretch of highway to testing self-driving cars and improving public transportation 

https://t.co/tpxrQiTsjG
via @businessinsider 
#SelfDrivingCars #DriverlessCars #Autonomous #Michigan #Mobility https://t.co/II2phmqR7B",positive,0.2,,1295491462256365568,,,objective,0.3833333333333333
kindboots,Autonomous Robot,2020-08-17 22:11:02,,,,".@FlyGRFord is the first airport in the country to test this autonomous UV cleaning robot which destroys the virus at the molecular level.
https://t.co/i7kUXNgekn",positive,0.325,,1295483301101277184,,,subjective,0.5166666666666666
